fname,src,n
DONA,A,3
DONA,B,3
DONALD,A,103
DONALD,B,100
DONAVAN,A,1
DONAVAN,B,1
DONELLE,A,1
DONELLE,B,1
DONNA,A,93
DONNA,B,89
DONNIE,A,11
DONNIE,B,11
DONNY,A,2
DONNY,B,2
DONOVAN,A,1
DONOVAN,B,2
DORA,A,7
DORA,B,5
DORAN,A,1
DORAN,B,1
DORCAS,B,1
DOREEN,A,2
DOREEN,B,2
DORIAN,A,1
DORIAN,B,1
DORICE,A,1
DORICE,B,1
DORIS,A,36
DORIS,B,32
DORNETTA,A,1
DORNETTA,B,1
DOROTHE,A,1
DOROTHY,A,38
DOROTHY,B,34
DORRIS,A,1
DOSS,A,1
DOUG,A,1
DOUG,B,2
DOUGLAS,A,37
DOUGLAS,B,32
DOVE,A,1
DOVER,A,1
DOVIE,A,1
DOYCE,A,1
DOYCE,B,1
DOYLE,A,8
DOYLE,B,8
DRAKE,B,1
DREW,A,2
DREW,B,2
DUANE,A,2
DUANE,B,3
DUARAD,A,1
DUARAD,B,1
DUBELSA,B,1
DUDLEY,A,1
DUDLEY,B,1
DUKE,A,1
DUKE,B,1
DUNCAN,A,2
DUNCAN,B,2
DUSTIN,A,19
DUSTIN,B,23
DUSTON,A,1
DUSTY,A,2
DUSTY,B,2
DUSTYN,A,1
DUSTYN,B,1
DWAIN,A,1
DWAIN,B,2
DWAINE,A,1
DWAYNE,A,5
DWAYNE,B,5
DWIGHT,A,9
DWIGHT,B,9
DYLAN,A,6
DYLAN,B,10
